ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-79,STATE_10790000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-80,STATE_10800000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-81,STATE_10810000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-82,STATE_10820000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-83,STATE_10830000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-84,STATE_10840000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-85,STATE_10850000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-86,STATE_10860000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-87,STATE_10870000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-88,STATE_10880000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-89,STATE_10890000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-90,STATE_10900000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-91,STATE_10910000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-92,STATE_10920000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-93,STATE_10930000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-94,STATE_10940000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-95,STATE_10950000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-96,STATE_10960000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-97,STATE_10970000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-98,STATE_10980000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-99,STATE_10990000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-100,STATE_11000000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-101,STATE_11010000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-102,STATE_11020000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-103,STATE_11030000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-104,STATE_11040000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-105,STATE_11050000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-106,STATE_11060000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-107,STATE_11070000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-108,STATE_11080000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-109,STATE_11090000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-110,STATE_11100000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-111,STATE_11110000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-112,STATE_11120000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-113,STATE_11130000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-114,STATE_11140000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-115,STATE_11150000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-116,STATE_11160000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-117,STATE_11170000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-118,STATE_11180000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-119,STATE_11190000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-120,STATE_11200000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-121,STATE_11210000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-122,STATE_11220000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-123,STATE_11230000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-124,STATE_11240000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-125,STATE_11250000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-126,STATE_11260000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-127,STATE_11270000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-128,STATE_11280000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-129,STATE_11290000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-130,STATE_11300000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-131,STATE_11310000,posterior.trees,true,sample,bayesian,years,Lee_2013
